population_ID	species	environment_type	pesticide	modality	dose	repetition_ID	alive	dead	total
P13	MEAM1	Greenhouse	plenum	dose	2500	r4	13	2	15
P13	MEAM1	Greenhouse	plenum	dose	10000	r1	12	3	15
P13	MEAM1	Greenhouse	plenum	dose	10000	r2	14	1	15
P13	MEAM1	Greenhouse	plenum	dose	10000	r3	13	1	14
P13	MEAM1	Greenhouse	plenum	dose	10000	r4	9	6	15
P21	MEAM1	Greenhouse	plenum	control	0	r1	14	1	15
P21	MEAM1	Greenhouse	plenum	control	0	r2	14	1	15
P21	MEAM1	Greenhouse	plenum	control	0	r3	15	0	15
P21	MEAM1	Greenhouse	plenum	control	0	r4	13	2	15
P21	MEAM1	Greenhouse	plenum	dose	9.77	r1	13	2	15
P21	MEAM1	Greenhouse	plenum	dose	9.77	r2	15	0	15
P21	MEAM1	Greenhouse	plenum	dose	9.77	r3	13	2	15
P21	MEAM1	Greenhouse	plenum	dose	9.77	r4	15	0	15
P21	MEAM1	Greenhouse	plenum	dose	39.06	r1	15	0	15
P21	MEAM1	Greenhouse	plenum	dose	39.06	r2	15	0	15
P21	MEAM1	Greenhouse	plenum	dose	39.06	r3	13	2	15
P21	MEAM1	Greenhouse	plenum	dose	39.06	r4	13	2	15
P21	MEAM1	Greenhouse	plenum	dose	156.25	r1	11	4	15
P21	MEAM1	Greenhouse	plenum	dose	156.25	r2	14	1	15
P21	MEAM1	Greenhouse	plenum	dose	156.25	r3	11	4	15
P21	MEAM1	Greenhouse	plenum	dose	156.25	r4	12	3	15
P21	MEAM1	Greenhouse	plenum	dose	625	r1	14	1	15
P21	MEAM1	Greenhouse	plenum	dose	625	r2	15	0	15
P21	MEAM1	Greenhouse	plenum	dose	625	r3	14	1	15
P21	MEAM1	Greenhouse	plenum	dose	625	r4	15	0	15
P21	MEAM1	Greenhouse	plenum	dose	2500	r1	13	2	15
P21	MEAM1	Greenhouse	plenum	dose	2500	r2	12	3	15
P21	MEAM1	Greenhouse	plenum	dose	2500	r3	13	2	15
P21	MEAM1	Greenhouse	plenum	dose	2500	r4	14	1	15
P21	MEAM1	Greenhouse	plenum	dose	10000	r1	14	0	14
P21	MEAM1	Greenhouse	plenum	dose	10000	r2	13	2	15
P21	MEAM1	Greenhouse	plenum	dose	10000	r3	13	2	15
P21	MEAM1	Greenhouse	plenum	dose	10000	r4	12	3	15
P25	MEAM1	Greenhouse	plenum	control	0	r1	13	2	15
P25	MEAM1	Greenhouse	plenum	control	0	r2	13	2	15
P25	MEAM1	Greenhouse	plenum	control	0	r3	15	0	15
P25	MEAM1	Greenhouse	plenum	control	0	r4	14	1	15
P25	MEAM1	Greenhouse	plenum	dose	9.77	r1	13	2	15
P25	MEAM1	Greenhouse	plenum	dose	9.77	r2	14	1	15
P25	MEAM1	Greenhouse	plenum	dose	9.77	r3	12	3	15
P25	MEAM1	Greenhouse	plenum	dose	9.77	r4	11	4	15
P25	MEAM1	Greenhouse	plenum	dose	39.06	r1	10	5	15
P25	MEAM1	Greenhouse	plenum	dose	39.06	r2	14	1	15
P25	MEAM1	Greenhouse	plenum	dose	39.06	r3	12	3	15
P25	MEAM1	Greenhouse	plenum	dose	39.06	r4	13	2	15
P25	MEAM1	Greenhouse	plenum	dose	156.25	r1	13	2	15
P25	MEAM1	Greenhouse	plenum	dose	156.25	r2	15	0	15
P25	MEAM1	Greenhouse	plenum	dose	156.25	r3	14	1	15
P25	MEAM1	Greenhouse	plenum	dose	156.25	r4	15	0	15
P25	MEAM1	Greenhouse	plenum	dose	625	r1	12	3	15
P25	MEAM1	Greenhouse	plenum	dose	625	r2	11	4	15
P25	MEAM1	Greenhouse	plenum	dose	625	r3	11	4	15
P25	MEAM1	Greenhouse	plenum	dose	625	r4	11	4	15
P25	MEAM1	Greenhouse	plenum	dose	2500	r1	12	3	15
P25	MEAM1	Greenhouse	plenum	dose	2500	r2	12	3	15
P25	MEAM1	Greenhouse	plenum	dose	2500	r3	11	4	15
P25	MEAM1	Greenhouse	plenum	dose	2500	r4	14	1	15
P25	MEAM1	Greenhouse	plenum	dose	10000	r1	13	2	15
P25	MEAM1	Greenhouse	plenum	dose	10000	r2	13	2	15
P25	MEAM1	Greenhouse	plenum	dose	10000	r3	14	1	15
P25	MEAM1	Greenhouse	plenum	dose	10000	r4	11	4	15
MEAM1	MEAM1	Laboratory	plenum	control	0	r1	15	0	15
MEAM1	MEAM1	Laboratory	plenum	control	0	r2	10	5	15
MEAM1	MEAM1	Laboratory	plenum	control	0	r3	13	2	15
MEAM1	MEAM1	Laboratory	plenum	control	0	r4	14	1	15
MEAM1	MEAM1	Laboratory	plenum	dose	0.31	r1	11	4	15
MEAM1	MEAM1	Laboratory	plenum	dose	0.31	r2	12	3	15
MEAM1	MEAM1	Laboratory	plenum	dose	0.31	r3	13	2	15
MEAM1	MEAM1	Laboratory	plenum	dose	0.31	r4	10	5	15
MEAM1	MEAM1	Laboratory	plenum	dose	0.61	r1	7	7	14
MEAM1	MEAM1	Laboratory	plenum	dose	0.61	r2	6	9	15
MEAM1	MEAM1	Laboratory	plenum	dose	0.61	r3	11	4	15
MEAM1	MEAM1	Laboratory	plenum	dose	0.61	r4	6	9	15
MEAM1	MEAM1	Laboratory	plenum	dose	1.22	r1	7	8	15
MEAM1	MEAM1	Laboratory	plenum	dose	1.22	r2	7	8	15
MEAM1	MEAM1	Laboratory	plenum	dose	1.22	r3	4	11	15
MEAM1	MEAM1	Laboratory	plenum	dose	1.22	r4	7	8	15
MEAM1	MEAM1	Laboratory	plenum	dose	2.44	r1	6	9	15
MEAM1	MEAM1	Laboratory	plenum	dose	2.44	r2	6	9	15
MEAM1	MEAM1	Laboratory	plenum	dose	2.44	r3	6	9	15
MEAM1	MEAM1	Laboratory	plenum	dose	2.44	r4	4	11	15
P56	MEAM1	Open field	supreme	control	0	r1	14	1	15
P56	MEAM1	Open field	supreme	control	0	r2	13	2	15
P56	MEAM1	Open field	supreme	control	0	r3	14	1	15
P56	MEAM1	Open field	supreme	control	0	r4	15	0	15
P56	MEAM1	Open field	supreme	dose	4	r1	14	0	14
P56	MEAM1	Open field	supreme	dose	4	r2	15	1	16
P56	MEAM1	Open field	supreme	dose	4	r3	13	2	15
P56	MEAM1	Open field	supreme	dose	4	r4	14	1	15
P56	MEAM1	Open field	supreme	dose	16	r1	14	1	15
P56	MEAM1	Open field	supreme	dose	16	r2	14	1	15
P56	MEAM1	Open field	supreme	dose	16	r3	14	1	15
P56	MEAM1	Open field	supreme	dose	16	r4	15	0	15
P56	MEAM1	Open field	supreme	dose	64	r1	12	4	16
P56	MEAM1	Open field	supreme	dose	64	r2	9	6	15
P56	MEAM1	Open field	supreme	dose	64	r3	9	6	15
P56	MEAM1	Open field	supreme	dose	64	r4	14	1	15
P56	MEAM1	Open field	supreme	dose	256	r1	7	8	15
P56	MEAM1	Open field	supreme	dose	256	r2	10	5	15
P56	MEAM1	Open field	supreme	dose	256	r3	7	7	14
P56	MEAM1	Open field	supreme	dose	256	r4	6	9	15
P56	MEAM1	Open field	supreme	dose	1024	r1	1	14	15
P56	MEAM1	Open field	supreme	dose	1024	r2	3	12	15
P56	MEAM1	Open field	supreme	dose	1024	r3	1	13	14
P56	MEAM1	Open field	supreme	dose	1024	r4	4	13	17
P56	MEAM1	Open field	supreme	dose	4096	r1	0	15	15
P56	MEAM1	Open field	supreme	dose	4096	r2	0	15	15
P56	MEAM1	Open field	supreme	dose	4096	r3	0	15	15
P56	MEAM1	Open field	supreme	dose	4096	r4	1	14	15
P55	MEAM1	Greenhouse	supreme	control	0	r1	12	3	15
P55	MEAM1	Greenhouse	supreme	control	0	r2	15	0	15
P55	MEAM1	Greenhouse	supreme	control	0	r3	14	2	16
P55	MEAM1	Greenhouse	supreme	control	0	r4	15	0	15
P55	MEAM1	Greenhouse	supreme	dose	4	r1	13	2	15
P55	MEAM1	Greenhouse	supreme	dose	4	r2	13	2	15
P55	MEAM1	Greenhouse	supreme	dose	4	r3	14	1	15
P55	MEAM1	Greenhouse	supreme	dose	4	r4	13	2	15
P55	MEAM1	Greenhouse	supreme	dose	16	r1	3	12	15
P55	MEAM1	Greenhouse	supreme	dose	16	r2	7	8	15
P55	MEAM1	Greenhouse	supreme	dose	16	r3	3	12	15
P55	MEAM1	Greenhouse	supreme	dose	16	r4	3	12	15
P55	MEAM1	Greenhouse	supreme	dose	64	r1	4	11	15
P55	MEAM1	Greenhouse	supreme	dose	64	r2	1	14	15
P55	MEAM1	Greenhouse	supreme	dose	64	r3	3	12	15
P55	MEAM1	Greenhouse	supreme	dose	64	r4	0	15	15
P55	MEAM1	Greenhouse	supreme	dose	256	r1	0	15	15
P55	MEAM1	Greenhouse	supreme	dose	256	r2	0	15	15
P55	MEAM1	Greenhouse	supreme	dose	256	r3	0	15	15
P55	MEAM1	Greenhouse	supreme	dose	256	r4	0	15	15
P55	MEAM1	Greenhouse	supreme	dose	1024	r1	0	15	15
P55	MEAM1	Greenhouse	supreme	dose	1024	r2	0	15	15
P55	MEAM1	Greenhouse	supreme	dose	1024	r3	0	15	15
P55	MEAM1	Greenhouse	supreme	dose	1024	r4	0	15	15
P55	MEAM1	Greenhouse	supreme	dose	4096	r1	0	15	15
P55	MEAM1	Greenhouse	supreme	dose	4096	r2	0	15	15
P55	MEAM1	Greenhouse	supreme	dose	4096	r3	0	15	15
P55	MEAM1	Greenhouse	supreme	dose	4096	r4	0	15	15
P13	MEAM1	Greenhouse	supreme	control	0	r1	14	2	16
P13	MEAM1	Greenhouse	supreme	control	0	r2	14	1	15
P13	MEAM1	Greenhouse	supreme	control	0	r3	15	0	15
P13	MEAM1	Greenhouse	supreme	control	0	r4	14	1	15
P13	MEAM1	Greenhouse	supreme	dose	4	r1	13	1	14
P13	MEAM1	Greenhouse	supreme	dose	4	r2	13	2	15
P13	MEAM1	Greenhouse	supreme	dose	4	r3	14	1	15
